question,category,subcategory
انا محتاج اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,family_record
انا تايه، عايز اعرف المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,family_record
فين اروح علشان اقدم اقرار ضريبي صفري؟,Taxes,tax_return
فين اروح علشان محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,individual_record
لو سمحت عايز اعرف اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,divorce
فين اروح علشان اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
ممكن تقولي ازاي تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
ممكن تقولي ازاي اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,tax_card
انا تايه، عايز اعرف اعدل الاقرار الضريبي بعد التقديم؟,Taxes,tax_return
ممكن حد يفهمني استخرج البطاقة الضريبية؟,Taxes,tax_card
فين اروح علشان رسوم رخصة السيارة كام؟,Traffic,vehicle_license
عايز اعرف ازاي اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,divorce
لو سمحت عايز اعرف اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,tax_card
عايز اعرف ازاي اطلع افادة طلاق رسمية؟,Personal Status,divorce
عايز اعرف ازاي المستندات المطلوبة لتسجيل المركبة؟,Traffic,vehicle_registration
عايز اعرف ازاي المستندات المطلوبة لشهادة الميلاد؟,Civil Affairs,birth_certificate
انا محتاج المستندات المطلوبة للطلاق؟,Personal Status,divorce
لو سمحت عايز اعرف اسجل شركتي الجديدة ضريبيا؟,Taxes,tax_registration
ينفع البطاقة الضريبية محتاجها علشان اعمل ايه؟,Taxes,tax_card
ينفع اسجل مركبة مستوردة جديدة؟,Traffic,vehicle_registration
ينفع احول رخصة قيادة اجنبية لمصرية؟,Traffic,driving_license
انا محتاج اقيد مولود جديد في السجل المدني؟,Civil Affairs,birth_certificate
فين اروح علشان المستندات المطلوبة للتسجيل الضريبي؟,Taxes,tax_registration
ممكن حد يفهمني اطلع بدل فاقد للبطاقة الشخصية؟,Civil Affairs,national_id
لو سمحت عايز اعرف اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,vat
انا تايه، عايز اعرف الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
لو سمحت عايز اعرف اطلع افادة طلاق رسمية؟,Personal Status,divorce
انا تايه، عايز اعرف رسوم قسيمة الزواج كام؟,Personal Status,marriage_certificate
انا تايه، عايز اعرف رسوم قسيمة الطلاق كام؟,Personal Status,divorce_certificate
عايز اعرف غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,vat
ممكن تقولي ازاي استخرج قيد فردي اونلاين؟,Civil Affairs,individual_record
ينفع اجدد رخصة القيادة قبل ما تخلص؟,Traffic,renewal
ممكن حد يفهمني اعدل بيانات في البطاقة الضريبية؟,Taxes,tax_card
ممكن تقولي ازاي رسوم توثيق عقد الجواز كام؟,Personal Status,marriage
انا محتاج المستندات المطلوبة لتسجيل المركبة؟,Traffic,vehicle_registration
انا محتاج ادفع مخالفة المرور اونلاين؟,Traffic,traffic_violations
لو سمحت عايز اعرف استخرج شهادة ميلاد لابني؟,Civil Affairs,birth_certificate
ممكن حد يفهمني التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,tax_registration
انا تايه، عايز اعرف اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,family_record
عايز اعرف رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,vehicle_license
عايز اعرف اعدل بيانات غلط في عقد الجواز؟,Personal Status,marriage
ممكن تقولي ازاي الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,driving_license
ممكن حد يفهمني اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,social_status
انا محتاج المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,income_tax
ينفع رسوم القيد الفردي كام؟,Civil Affairs,individual_record
ممكن حد يفهمني استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,national_id
ممكن تقولي ازاي اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,individual_record
ينفع المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,income_tax
عايز اعرف ازاي اعدل بيانات في القيد الفردي؟,Civil Affairs,individual_record
هعمل ايه علشان اطلع رخصة سيارة نقل تجاري؟,Traffic,vehicle_license
هعمل ايه علشان اقدم اقرار القيمة المضافة الشهري؟,Taxes,vat
عايز اعرف ازاي اجدد رخصة العربية بعد الانتهاء؟,Traffic,vehicle_license
لو سمحت عايز اعرف اجدد رخصة عربية متأخرة من سنين؟,Traffic,renewal
انا تايه، عايز اعرف اسجل في ضريبة القيمة المضافة؟,Taxes,vat
هعمل ايه علشان اسجل عربية جديدة في المرور؟,Traffic,vehicle_registration
عايز اعرف ازاي استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,national_id
لو سمحت عايز اعرف اترجم قسيمة الطلاق رسمي؟,Personal Status,divorce_certificate
فين اروح علشان استخرج شهادة ميلاد اونلاين؟,Civil Affairs,birth_certificate
انا محتاج اسجل شركتي الجديدة ضريبيا؟,Taxes,tax_registration
انا محتاج شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,death_certificate
ممكن تقولي ازاي اجدد رخصة العربية اونلاين؟,Traffic,vehicle_license
عايز اعرف اسجل شركتي الجديدة ضريبيا؟,Taxes,tax_registration
ممكن تقولي ازاي اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,tax_card
عايز اعرف ازاي عقد الجواز بياخد وقت قد ايه؟,Personal Status,marriage
ينفع رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
لو سمحت عايز اعرف اطلع قسيمة الزواج من مأذون تاني محافظة؟,Personal Status,marriage_certificate
لو سمحت عايز اعرف اعدل العنوان في بطاقة الرقم القومي؟,Civil Affairs,national_id
هعمل ايه علشان المستندات المطلوبة لشهادة الميلاد؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي قسيمة الزواج بتاخد قد ايه؟,Personal Status,marriage_certificate
عايز اعرف ازاي اجدد رخصة القيادة قبل ما تخلص؟,Traffic,renewal
لو سمحت عايز اعرف المستندات المطلوبة لشهادة الميلاد؟,Civil Affairs,birth_certificate
هعمل ايه علشان اطلع افادة طلاق رسمية؟,Personal Status,divorce
لو سمحت عايز اعرف اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,national_id
ممكن حد يفهمني اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,death_certificate
عايز اعرف ازاي اسجل مركبة مستوردة جديدة؟,Traffic,vehicle_registration
فين اروح علشان اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,death_certificate
هعمل ايه علشان القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,individual_record
ممكن حد يفهمني اسجل شركتي الجديدة ضريبيا؟,Taxes,tax_registration
ممكن تقولي ازاي غرامة تأخير الاقرار الضريبي كام؟,Taxes,tax_return
ممكن حد يفهمني استخرج شهادة وفاة اونلاين؟,Civil Affairs,death_certificate
انا محتاج قسيمة الزواج محتاجها علشان استخرج ايه بعد كده؟,Personal Status,marriage_certificate
فين اروح علشان استرد ضريبة دخل مخصومة زيادة؟,Taxes,income_tax
ممكن تقولي ازاي عقد الجواز بياخد وقت قد ايه؟,Personal Status,marriage
انا تايه، عايز اعرف مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,tax_return
ينفع استخرج رخصة سيارتي الجديدة؟,Traffic,vehicle_license
فين اروح علشان المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,divorce_certificate
ممكن حد يفهمني المستندات المطلوبة لتسجيل المركبة؟,Traffic,vehicle_registration
عايز اعرف اطلع افادة طلاق رسمية؟,Personal Status,divorce
ممكن تقولي ازاي ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,income_tax
انا تايه، عايز اعرف تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
عايز اعرف ازاي انقل ملكية عربية لشخص تاني؟,Traffic,vehicle_registration
ممكن حد يفهمني شرايح ضريبة الدخل الحالية ايه؟,Taxes,income_tax
ينفع رخصة السيارة بتاخد قد ايه؟,Traffic,vehicle_license
انا محتاج اقدم اقرار ضريبي صفري؟,Taxes,tax_return
انا تايه، عايز اعرف اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
ممكن تقولي ازاي التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,tax_registration
عايز اعرف ازاي غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,vat
انا تايه، عايز اعرف اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,marriage
انا محتاج اجدد رخصة العربية بعد الانتهاء؟,Traffic,vehicle_license
ممكن حد يفهمني المستندات المطلوبة للطلاق؟,Personal Status,divorce
لو سمحت عايز اعرف رسوم رخصة السيارة كام؟,Traffic,vehicle_license
لو سمحت عايز اعرف اعدل بيانات في شهادة الميلاد؟,Civil Affairs,birth_certificate
انا تايه، عايز اعرف اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,social_status
لو سمحت عايز اعرف التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,tax_registration
ممكن تقولي ازاي اضيف مولود على القيد العائلي؟,Civil Affairs,family_record
لو سمحت عايز اعرف استخرج قسيمة الزواج؟,Personal Status,marriage_certificate
عايز اعرف ازاي اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,death_certificate
ينفع المستندات المطلوبة لتجديد الرخصة؟,Traffic,renewal
هعمل ايه علشان اطلع قيد فردي لابني الصغير؟,Civil Affairs,individual_record
انا تايه، عايز اعرف رسوم القيد العائلي كام؟,Civil Affairs,family_record
فين اروح علشان الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,social_status
عايز اعرف المستندات المطلوبة للطلاق؟,Personal Status,divorce
ممكن حد يفهمني اقدم على البطاقة القومي اونلاين؟,Civil Affairs,national_id
فين اروح علشان ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,national_id
لو سمحت عايز اعرف استخرج قسيمة زواج اونلاين؟,Personal Status,marriage_certificate
لو سمحت عايز اعرف استعلم عن مخالفات المرور بتاعتي؟,Traffic,traffic_violations
ممكن تقولي ازاي استخرج البطاقة الضريبية اونلاين؟,Taxes,tax_card
انا محتاج رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
ينفع اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,social_status
ممكن تقولي ازاي اعدل بيانات في القيد الفردي؟,Civil Affairs,individual_record
عايز اعرف الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
انا تايه، عايز اعرف اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,tax_card
انا محتاج اعرف تفاصيل مخالفة برقم اللوحة؟,Traffic,traffic_violations
ممكن حد يفهمني اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
ممكن حد يفهمني استخرج قيد عائلي جديد؟,Civil Affairs,family_record
عايز اعرف ازاي اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,family_record
ممكن تقولي ازاي اطلع افادة بالحالة الاجتماعية؟,Personal Status,social_status
عايز اعرف المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,national_id
عايز اعرف الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,tax_return
انا تايه، عايز اعرف استخرج رخصة قيادة جديدة؟,Traffic,driving_license
ممكن تقولي ازاي المستندات المطلوبة للبطاقة الضريبية؟,Taxes,tax_card
انا محتاج نسبة ضريبة القيمة المضافة كام؟,Taxes,vat
عايز اعرف رخصة القيادة بتاخد وقت قد ايه؟,Traffic,driving_license
عايز اعرف اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,marriage_certificate
هعمل ايه علشان رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
هعمل ايه علشان رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,national_id
انا محتاج المستندات المطلوبة للاقرار الضريبي؟,Taxes,tax_return
انا محتاج ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,income_tax
فين اروح علشان اقدم الاقرار الضريبي السنوي؟,Taxes,tax_return
هعمل ايه علشان المستندات المطلوبة لاستخراج رخصة القيادة؟,Traffic,driving_license
انا تايه، عايز اعرف افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,individual_record
هعمل ايه علشان افرق قيدي عن قيد اهلي؟,Civil Affairs,family_record
لو سمحت عايز اعرف اطلق مراتي رسمي ازاي؟,Personal Status,divorce
عايز اعرف المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,income_tax
انا محتاج رسوم قسيمة الطلاق كام؟,Personal Status,divorce_certificate
انا تايه، عايز اعرف اسجل عربية جديدة في المرور؟,Traffic,vehicle_registration
ممكن تقولي ازاي اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي استخرج شهادة وفاة اونلاين؟,Civil Affairs,death_certificate
عايز اعرف اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,individual_record
لو سمحت عايز اعرف المستندات المطلوبة لتجديد الرخصة؟,Traffic,renewal
لو سمحت عايز اعرف اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,social_status
انا تايه، عايز اعرف اطلع افادة طلاق رسمية؟,Personal Status,divorce
فين اروح علشان اطلع بدل فاقد لرخصة القيادة؟,Traffic,driving_license
عايز اعرف اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,tax_card
فين اروح علشان اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,marriage_certificate
هعمل ايه علشان اعدل بيانات في رخصة المركبة؟,Traffic,vehicle_license
لو سمحت عايز اعرف رخصة القيادة بتاخد وقت قد ايه؟,Traffic,driving_license
هعمل ايه علشان المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,national_id
ممكن حد يفهمني اطلع قيد فردي لابني الصغير؟,Civil Affairs,individual_record
هعمل ايه علشان اعدل بيانات غلط في القيد العائلي؟,Civil Affairs,family_record
ينفع اسجل عربية جديدة في المرور؟,Traffic,vehicle_registration
هعمل ايه علشان المستندات المطلوبة للبطاقة الضريبية؟,Taxes,tax_card
هعمل ايه علشان رسوم التسجيل الضريبي كام؟,Taxes,tax_registration
انا تايه، عايز اعرف اسجل نشاطي التجاري في الضرائب؟,Taxes,tax_registration
انا تايه، عايز اعرف اقدم على رخصة القيادة اونلاين؟,Traffic,driving_license
ممكن حد يفهمني اسجل المركبة اونلاين؟,Traffic,vehicle_registration
ينفع اترجم قسيمة الزواج رسمي؟,Personal Status,marriage_certificate
ممكن حد يفهمني محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,individual_record
انا محتاج التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,tax_registration
ممكن تقولي ازاي اطلع بدل فاقد لرخصة السيارة؟,Traffic,vehicle_license
فين اروح علشان افرق قيدي عن قيد اهلي؟,Civil Affairs,family_record
عايز اعرف ازاي اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,tax_return
ينفع استخرج قيد عائلي جديد؟,Civil Affairs,family_record
هعمل ايه علشان اقيد مولود جديد في السجل المدني؟,Civil Affairs,birth_certificate
فين اروح علشان اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,vat
عايز اعرف ازاي المستندات المطلوبة لرخصة المركبة؟,Traffic,vehicle_license
انا محتاج اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,divorce
ممكن تقولي ازاي المستندات المطلوبة لتسجيل المركبة؟,Traffic,vehicle_registration
عايز اعرف ازاي انقل ملكية موتوسيكل ازاي؟,Traffic,vehicle_registration
ممكن حد يفهمني اقسط غرامة مخالفات المرور؟,Traffic,traffic_violations
لو سمحت عايز اعرف استخرج قسيمة طلاق اونلاين؟,Personal Status,divorce_certificate
ينفع اطلع افادة طلاق رسمية؟,Personal Status,divorce
هعمل ايه علشان اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,tax_card
عايز اعرف اجدد رخصة عربية متأخرة من سنين؟,Traffic,renewal
هعمل ايه علشان نسبة ضريبة القيمة المضافة كام؟,Taxes,vat
عايز اعرف ازاي رسوم القيد العائلي كام؟,Civil Affairs,family_record
هعمل ايه علشان استخرج قيد فردي؟,Civil Affairs,individual_record
لو سمحت عايز اعرف البطاقة الضريبية بتاخد قد ايه؟,Taxes,tax_card
انا تايه، عايز اعرف اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,tax_return
عايز اعرف اعدل الحالة الاجتماعية اونلاين؟,Personal Status,social_status
عايز اعرف اقدم اقرار القيمة المضافة الشهري؟,Taxes,vat
ممكن حد يفهمني رخصة القيادة بتاخد وقت قد ايه؟,Traffic,driving_license
عايز اعرف عقد الجواز بياخد وقت قد ايه؟,Personal Status,marriage
لو سمحت عايز اعرف افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,individual_record
ممكن حد يفهمني اسجل نشاطي التجاري في الضرائب؟,Taxes,tax_registration
لو سمحت عايز اعرف عقد الجواز بياخد وقت قد ايه؟,Personal Status,marriage
هعمل ايه علشان اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,divorce_certificate
انا محتاج الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
انا تايه، عايز اعرف المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,death_certificate
هعمل ايه علشان اجدد رخصة السيارة اونلاين؟,Traffic,renewal
انا تايه، عايز اعرف اقسط غرامة مخالفات المرور؟,Traffic,traffic_violations
ينفع تسجيل المركبة بياخد وقت قد ايه؟,Traffic,vehicle_registration
فين اروح علشان استخرج قسيمة طلاق اونلاين؟,Personal Status,divorce_certificate
لو سمحت عايز اعرف اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,family_record
ممكن حد يفهمني الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,driving_license
انا محتاج اطلع افادة طلاق رسمية؟,Personal Status,divorce
هعمل ايه علشان استعلم عن مخالفات المرور بتاعتي؟,Traffic,traffic_violations
لو سمحت عايز اعرف المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,national_id
لو سمحت عايز اعرف التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,tax_registration
لو سمحت عايز اعرف رسوم رخصة القيادة كام؟,Traffic,driving_license
عايز اعرف اسجل نشاطي التجاري في الضرائب؟,Taxes,tax_registration
انا محتاج اطلع بدل فاقد لعقد الجواز؟,Personal Status,marriage
هعمل ايه علشان اعترض على ربط ضريبة الدخل؟,Taxes,income_tax
انا محتاج اعدل بيانات التسجيل الضريبي؟,Taxes,tax_registration
هعمل ايه علشان المستندات المطلوبة للتسجيل الضريبي؟,Taxes,tax_registration
عايز اعرف ازاي اطلع بدل فاقد لعقد الجواز؟,Personal Status,marriage
انا محتاج رسوم القيد العائلي كام؟,Civil Affairs,family_record
هعمل ايه علشان احذف اسم من القيد العائلي؟,Civil Affairs,family_record
لو سمحت عايز اعرف المستندات المطلوبة لقسيمة الزواج؟,Personal Status,marriage_certificate
هعمل ايه علشان اجدد رخصة العربية اونلاين؟,Traffic,vehicle_license
انا محتاج اسجل عربية جديدة في المرور؟,Traffic,vehicle_registration
انا تايه، عايز اعرف القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,individual_record
ممكن حد يفهمني رسوم توثيق الطلاق كام؟,Personal Status,divorce
ممكن حد يفهمني تسجيل المركبة بياخد وقت قد ايه؟,Traffic,vehicle_registration
عايز اعرف غرامة تأخير الاقرار الضريبي كام؟,Taxes,tax_return
ممكن تقولي ازاي اعدل بيانات التسجيل الضريبي؟,Taxes,tax_registration
انا محتاج اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
هعمل ايه علشان اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
انا محتاج اقسط ضريبة الدخل المستحقة عليا؟,Taxes,income_tax
انا تايه، عايز اعرف اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,marriage_certificate
لو سمحت عايز اعرف اسجل عقد جواز عرفي؟,Personal Status,marriage
ممكن تقولي ازاي القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,family_record
ممكن تقولي ازاي رخصة القيادة بتاخد وقت قد ايه؟,Traffic,driving_license
لو سمحت عايز اعرف اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
ممكن تقولي ازاي المستندات المطلوبة لشهادة الميلاد؟,Civil Affairs,birth_certificate
ينفع قسيمة الزواج بتاخد قد ايه؟,Personal Status,marriage_certificate
عايز اعرف ازاي رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,vehicle_license
عايز اعرف ازاي اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,divorce_certificate
فين اروح علشان اعدل بيانات خطأ في شهادة الوفاة؟,Civil Affairs,death_certificate
ممكن حد يفهمني استخرج قسيمة زواج اونلاين؟,Personal Status,marriage_certificate
ينفع رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,birth_certificate
فين اروح علشان اطلاق اجراءاته بتاخد قد ايه؟,Personal Status,divorce
ينفع اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,national_id
انا محتاج رسوم التسجيل الضريبي كام؟,Taxes,tax_registration
انا تايه، عايز اعرف اترجم قسيمة الزواج رسمي؟,Personal Status,marriage_certificate
عايز اعرف ازاي اطلق مراتي رسمي ازاي؟,Personal Status,divorce
فين اروح علشان شرايح ضريبة الدخل الحالية ايه؟,Taxes,income_tax
ينفع اسجل نفسي في مصلحة الضرائب؟,Taxes,tax_registration
انا تايه، عايز اعرف اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,divorce
لو سمحت عايز اعرف الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,driving_license
ممكن حد يفهمني خطوات تجديد الرخصة اونلاين ايه؟,Traffic,renewal
ممكن حد يفهمني القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,family_record
انا محتاج اطلع شهادة ميلاد كمبيوتر بدل الاول؟,Civil Affairs,birth_certificate
انا تايه، عايز اعرف انقل ملكية موتوسيكل ازاي؟,Traffic,vehicle_registration
عايز اعرف محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,individual_record
عايز اعرف اعرف اقرب مكتب سجل مدني لعمل البطاقة؟,Civil Affairs,national_id
انا محتاج اعدل الاقرار الضريبي بعد التقديم؟,Taxes,tax_return
لو سمحت عايز اعرف ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,income_tax
هعمل ايه علشان اقدم على رخصة القيادة اونلاين؟,Traffic,driving_license
عايز اعرف ازاي احول رخصة قيادة اجنبية لمصرية؟,Traffic,driving_license
ينفع اعدل بيانات غلط في عقد الجواز؟,Personal Status,marriage
ينفع اقيد مولود جديد في السجل المدني؟,Civil Affairs,birth_certificate
لو سمحت عايز اعرف اطلع بدل فاقد لرخصة القيادة؟,Traffic,driving_license
ينفع اطلع بدل فاقد لرخصة السيارة؟,Traffic,vehicle_license
انا تايه، عايز اعرف اضيف مولود على القيد العائلي؟,Civil Affairs,family_record
فين اروح علشان اجدد رخصة عربية متأخرة من سنين؟,Traffic,renewal
هعمل ايه علشان المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,income_tax
ينفع رسوم قسيمة الزواج كام؟,Personal Status,marriage_certificate
هعمل ايه علشان المستندات المطلوبة لعقد الزواج؟,Personal Status,marriage
ممكن حد يفهمني اسجل حالة طلاق في المأذون؟,Personal Status,divorce
ممكن تقولي ازاي قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,divorce_certificate
ممكن حد يفهمني استخرج رخصة قيادة جديدة؟,Traffic,driving_license
ممكن تقولي ازاي رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,vehicle_license
لو سمحت عايز اعرف قسيمة الزواج بتاخد قد ايه؟,Personal Status,marriage_certificate
لو سمحت عايز اعرف اسجل المركبة اونلاين؟,Traffic,vehicle_registration
عايز اعرف ازاي رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,birth_certificate
لو سمحت عايز اعرف شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي استرد ضريبة القيمة المضافة؟,Taxes,vat
ممكن حد يفهمني فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,renewal
هعمل ايه علشان اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,vat
هعمل ايه علشان اضيف مولود على القيد العائلي؟,Civil Affairs,family_record
انا محتاج الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,social_status
ممكن حد يفهمني اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,divorce_certificate
لو سمحت عايز اعرف رسوم توثيق عقد الجواز كام؟,Personal Status,marriage
انا تايه، عايز اعرف اعدل بيانات خطأ في شهادة الوفاة؟,Civil Affairs,death_certificate
انا محتاج المستندات المطلوبة لتجديد الرخصة؟,Traffic,renewal
عايز اعرف ازاي اجدد رخصة القيادة بعد ما خلصت؟,Traffic,driving_license
انا تايه، عايز اعرف استخرج قيد فردي؟,Civil Affairs,individual_record
لو سمحت عايز اعرف رسوم البطاقة الضريبية كام؟,Taxes,tax_card
عايز اعرف اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,renewal
هعمل ايه علشان اطلع بدل فاقد لرخصة القيادة؟,Traffic,driving_license
عايز اعرف ازاي قسيمة الزواج محتاجها علشان استخرج ايه بعد كده؟,Personal Status,marriage_certificate
انا محتاج ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,national_id
فين اروح علشان احسب ضريبة الدخل على مرتبي؟,Taxes,income_tax
هعمل ايه علشان الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,social_status
ممكن تقولي ازاي اجدد رخصة عربية متأخرة من سنين؟,Traffic,renewal
انا تايه، عايز اعرف نسبة ضريبة القيمة المضافة كام؟,Taxes,vat
عايز اعرف ازاي قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,divorce_certificate
ينفع اسجل المركبة اونلاين؟,Traffic,vehicle_registration
ينفع رسوم توثيق الطلاق كام؟,Personal Status,divorce
هعمل ايه علشان المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,social_status
انا تايه، عايز اعرف استخرج قسيمة طلاق اونلاين؟,Personal Status,divorce_certificate
انا تايه، عايز اعرف استخرج قيد عائلي جديد؟,Civil Affairs,family_record
هعمل ايه علشان اجدد رخصة العربية بعد الانتهاء؟,Traffic,vehicle_license
ممكن حد يفهمني اضيف مولود على القيد العائلي؟,Civil Affairs,family_record
عايز اعرف ازاي المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,traffic_violations
انا محتاج المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,social_status
فين اروح علشان فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,renewal
فين اروح علشان استخرج شهادة ميلاد لابني؟,Civil Affairs,birth_certificate
ينفع اعدل بيانات في رخصة القيادة؟,Traffic,driving_license
عايز اعرف احذف اسم من القيد العائلي؟,Civil Affairs,family_record
انا تايه، عايز اعرف غرامة تأخير تجديد الرخصة كام؟,Traffic,renewal
ممكن حد يفهمني اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,tax_return
انا محتاج انقل ملكية موتوسيكل ازاي؟,Traffic,vehicle_registration
انا محتاج المستندات المطلوبة للتسجيل الضريبي؟,Taxes,tax_registration
ممكن تقولي ازاي استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,national_id
ينفع اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,birth_certificate
عايز اعرف اعدل الاقرار الضريبي بعد التقديم؟,Taxes,tax_return
