question,category,label
عايز اعرف ازاي اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,1
هعمل ايه علشان مخالفات المرور بتتحسب ازاي؟,Traffic,3
انا تايه، عايز اعرف استخرج شهادة ميلاد اونلاين؟,Civil Affairs,0
انا محتاج استخرج رخصة سيارتي الجديدة؟,Traffic,3
ممكن حد يفهمني تجديد الرخصة بياخد وقت قد ايه؟,Traffic,3
ينفع اعدل العنوان في بطاقة الرقم القومي؟,Civil Affairs,0
هعمل ايه علشان اعدل بيانات في البطاقة الضريبية؟,Taxes,2
لو سمحت عايز اعرف الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,1
عايز اعرف ازاي استخرج قيد فردي؟,Civil Affairs,0
انا تايه، عايز اعرف استخرج شهادة وفاة اونلاين؟,Civil Affairs,0
انا محتاج افسخ تسجيل عربية قديمة؟,Traffic,3
ينفع تسجيل المركبة بياخد وقت قد ايه؟,Traffic,3
انا محتاج اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,1
لو سمحت عايز اعرف اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,1
هعمل ايه علشان مدة سقوط مخالفة المرور كام؟,Traffic,3
فين اروح علشان اعدل بيانات التسجيل الضريبي؟,Taxes,2
عايز اعرف ازاي اعدل بيانات في القيد الفردي؟,Civil Affairs,0
ممكن تقولي ازاي اعدل الحالة الاجتماعية اونلاين؟,Personal Status,1
انا تايه، عايز اعرف اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
انا تايه، عايز اعرف نسبة ضريبة القيمة المضافة كام؟,Taxes,2
فين اروح علشان اطلاق اجراءاته بتاخد قد ايه؟,Personal Status,1
انا تايه، عايز اعرف اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,1
عايز اعرف اسجل نشاطي التجاري في الضرائب؟,Taxes,2
لو سمحت عايز اعرف رسوم قسيمة الطلاق كام؟,Personal Status,1
انا تايه، عايز اعرف احذف اسم من القيد العائلي؟,Civil Affairs,0
عايز اعرف الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,1
لو سمحت عايز اعرف رسوم رخصة القيادة كام؟,Traffic,3
عايز اعرف اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,0
عايز اعرف ازاي اطلع قسيمة الزواج من مأذون تاني محافظة؟,Personal Status,1
هعمل ايه علشان المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,3
عايز اعرف ازاي اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,0
انا محتاج اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,3
هعمل ايه علشان اطلع بدل فاقد لرخصة القيادة؟,Traffic,3
ممكن حد يفهمني افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,0
فين اروح علشان رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,3
ينفع استخرج القيد العائلي اونلاين؟,Civil Affairs,0
لو سمحت عايز اعرف اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,0
لو سمحت عايز اعرف غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,2
هعمل ايه علشان شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,0
ممكن حد يفهمني المستندات المطلوبة لرخصة المركبة؟,Traffic,3
عايز اعرف اجدد رخصة السيارة اونلاين؟,Traffic,3
عايز اعرف اقدم الاقرار الضريبي السنوي؟,Taxes,2
انا تايه، عايز اعرف قسيمة الزواج بتاخد قد ايه؟,Personal Status,1
ممكن تقولي ازاي رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,3
هعمل ايه علشان اجدد رخصة العربية اونلاين؟,Traffic,3
ممكن تقولي ازاي رسوم رخصة القيادة كام؟,Traffic,3
عايز اعرف ازاي محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,0
هعمل ايه علشان المستندات المطلوبة لاستخراج رخصة القيادة؟,Traffic,3
ممكن حد يفهمني اترجم قسيمة الزواج رسمي؟,Personal Status,1
فين اروح علشان استخرج قيد فردي؟,Civil Affairs,0
لو سمحت عايز اعرف اسجل مركبة مستوردة جديدة؟,Traffic,3
عايز اعرف اقدم على البطاقة القومي اونلاين؟,Civil Affairs,0
انا تايه، عايز اعرف المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,0
عايز اعرف ازاي الفرق بين الطلاق والخلع ايه؟,Personal Status,1
هعمل ايه علشان اقدم على البطاقة القومي اونلاين؟,Civil Affairs,0
فين اروح علشان المستندات المطلوبة لتجديد الرخصة؟,Traffic,3
انا تايه، عايز اعرف اطلع افادة بالحالة الاجتماعية؟,Personal Status,1
انا تايه، عايز اعرف استخرج البطاقة الضريبية؟,Taxes,2
انا تايه، عايز اعرف اعدل بيانات التسجيل الضريبي؟,Taxes,2
فين اروح علشان تسجيل المركبة بياخد وقت قد ايه؟,Traffic,3
لو سمحت عايز اعرف المستندات المطلوبة للتسجيل الضريبي؟,Taxes,2
ينفع اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,2
ينفع استخرج قسيمة الزواج؟,Personal Status,1
هعمل ايه علشان رسوم شهادة الوفاة كام؟,Civil Affairs,0
ينفع رسوم قسيمة الطلاق كام؟,Personal Status,1
عايز اعرف اسجل في ضريبة القيمة المضافة؟,Taxes,2
عايز اعرف استخرج قسيمة الطلاق؟,Personal Status,1
هعمل ايه علشان استعلم عن مخالفات المرور بتاعتي؟,Traffic,3
عايز اعرف اقيد مولود جديد في السجل المدني؟,Civil Affairs,0
لو سمحت عايز اعرف المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,0
لو سمحت عايز اعرف غرامة تأخير تجديد الرخصة كام؟,Traffic,3
عايز اعرف استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,0
فين اروح علشان محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,0
فين اروح علشان الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,1
فين اروح علشان الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,2
عايز اعرف ازاي عقد الجواز بياخد وقت قد ايه؟,Personal Status,1
عايز اعرف ازاي قسيمة الزواج محتاجها علشان استخرج ايه بعد كده؟,Personal Status,1
انا تايه، عايز اعرف التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,2
ممكن حد يفهمني استخرج قيد فردي اونلاين؟,Civil Affairs,0
ممكن حد يفهمني المستندات المطلوبة لتسجيل المركبة؟,Traffic,3
عايز اعرف استخرج قيد عائلي جديد؟,Civil Affairs,0
ممكن تقولي ازاي الفرق بين الطلاق والخلع ايه؟,Personal Status,1
عايز اعرف ازاي المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,2
عايز اعرف افسخ تسجيل عربية قديمة؟,Traffic,3
ممكن حد يفهمني استخرج القيد العائلي اونلاين؟,Civil Affairs,0
انا محتاج شرايح ضريبة الدخل الحالية ايه؟,Taxes,2
عايز اعرف رسوم التسجيل الضريبي كام؟,Taxes,2
ممكن تقولي ازاي اعدل بيانات خطأ في شهادة الوفاة؟,Civil Affairs,0
هعمل ايه علشان اقسط غرامة مخالفات المرور؟,Traffic,3
انا محتاج رسوم قسيمة الطلاق كام؟,Personal Status,1
ممكن حد يفهمني اجدد رخصة السيارة اونلاين؟,Traffic,3
عايز اعرف ازاي المستندات المطلوبة لرخصة المركبة؟,Traffic,3
لو سمحت عايز اعرف اسجل في ضريبة القيمة المضافة؟,Taxes,2
ممكن حد يفهمني اعدل بيانات تسجيل المركبة؟,Traffic,3
لو سمحت عايز اعرف اعدل بيانات غلط في عقد الجواز؟,Personal Status,1
ممكن حد يفهمني اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,1
انا محتاج اقيد مولود جديد في السجل المدني؟,Civil Affairs,0
عايز اعرف اعدل بيانات في شهادة الميلاد؟,Civil Affairs,0
فين اروح علشان افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,0
ممكن حد يفهمني رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,0
انا تايه، عايز اعرف اضيف مولود على القيد العائلي؟,Civil Affairs,0
ممكن تقولي ازاي اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
انا تايه، عايز اعرف اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,2
لو سمحت عايز اعرف المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,0
ممكن تقولي ازاي فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,3
ممكن تقولي ازاي مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,0
انا تايه، عايز اعرف شروط اتمام عقد الزواج للمصريين في الخارج؟,Personal Status,1
عايز اعرف ازاي استخرج رخصة سيارتي الجديدة؟,Traffic,3
ممكن تقولي ازاي استرد ضريبة القيمة المضافة؟,Taxes,2
ممكن حد يفهمني رخصة السيارة بتاخد قد ايه؟,Traffic,3
فين اروح علشان رسوم قسيمة الزواج كام؟,Personal Status,1
فين اروح علشان اقدم على رخصة القيادة اونلاين؟,Traffic,3
انا محتاج استخرج رخصة قيادة جديدة؟,Traffic,3
انا تايه، عايز اعرف اطلع بدل فاقد لعقد الجواز؟,Personal Status,1
انا محتاج قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,1
ينفع اجدد رخصة العربية بعد الانتهاء؟,Traffic,3
انا محتاج رسوم توثيق عقد الجواز كام؟,Personal Status,1
لو سمحت عايز اعرف الفرق بين الطلاق والخلع ايه؟,Personal Status,1
انا محتاج اترجم قسيمة الطلاق رسمي؟,Personal Status,1
عايز اعرف اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,2
عايز اعرف ازاي اترجم قسيمة الطلاق رسمي؟,Personal Status,1
ينفع اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,2
فين اروح علشان اطلع بدل فاقد للبطاقة الشخصية؟,Civil Affairs,0
ممكن حد يفهمني اعدل بيانات في رخصة القيادة؟,Traffic,3
ينفع اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,2
ينفع اسجل ضريبيا اونلاين؟,Taxes,2
ممكن تقولي ازاي تسجيل المركبة بياخد وقت قد ايه؟,Traffic,3
هعمل ايه علشان اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,1
فين اروح علشان اطلع افادة بالحالة الاجتماعية؟,Personal Status,1
ينفع اقيد مولود جديد في السجل المدني؟,Civil Affairs,0
هعمل ايه علشان استعلم عن مخالفات عربية مش عربيتي؟,Traffic,3
ممكن تقولي ازاي اقيد مولود جديد في السجل المدني؟,Civil Affairs,0
انا تايه، عايز اعرف افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,2
لو سمحت عايز اعرف استخرج قيد عائلي جديد؟,Civil Affairs,0
عايز اعرف اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,0
هعمل ايه علشان اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,1
انا محتاج غرامة تأخير تجديد الرخصة كام؟,Traffic,3
لو سمحت عايز اعرف استخرج رخصة قيادة جديدة؟,Traffic,3
ينفع فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,3
عايز اعرف ازاي اعقد عقد جواز جديد؟,Personal Status,1
انا محتاج اطلع ايصال دفع مخالفة مرور؟,Traffic,3
فين اروح علشان المستندات المطلوبة للبطاقة الضريبية؟,Taxes,2
لو سمحت عايز اعرف الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,3
عايز اعرف اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,1
ممكن تقولي ازاي خطوات تجديد الرخصة اونلاين ايه؟,Traffic,3
هعمل ايه علشان المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,0
ممكن تقولي ازاي استخرج قسيمة زواج اونلاين؟,Personal Status,1
عايز اعرف ازاي اقدم الاقرار الضريبي السنوي؟,Taxes,2
لو سمحت عايز اعرف البطاقة الضريبية محتاجها علشان اعمل ايه؟,Taxes,2
ينفع الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,2
فين اروح علشان احول رخصة قيادة اجنبية لمصرية؟,Traffic,3
لو سمحت عايز اعرف افرق قيدي عن قيد اهلي؟,Civil Affairs,0
عايز اعرف ازاي اعدل بيانات غلط في عقد الجواز؟,Personal Status,1
عايز اعرف ازاي استخرج قسيمة الزواج؟,Personal Status,1
ممكن تقولي ازاي عقد الجواز بياخد وقت قد ايه؟,Personal Status,1
لو سمحت عايز اعرف اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,2
انا محتاج اسجل مركبة مستوردة جديدة؟,Traffic,3
عايز اعرف مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,2
لو سمحت عايز اعرف المستندات المطلوبة لقسيمة الزواج؟,Personal Status,1
هعمل ايه علشان استخرج شهادة ميلاد اونلاين؟,Civil Affairs,0
ممكن تقولي ازاي رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,0
ينفع ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
عايز اعرف اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,2
ممكن تقولي ازاي اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,1
انا تايه، عايز اعرف اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,1
عايز اعرف اعدل بيانات غلط في القيد العائلي؟,Civil Affairs,0
لو سمحت عايز اعرف رسوم القيد الفردي كام؟,Civil Affairs,0
ينفع عقد الجواز بياخد وقت قد ايه؟,Personal Status,1
انا تايه، عايز اعرف استخرج قيد عائلي جديد؟,Civil Affairs,0
عايز اعرف اعترض على ربط ضريبة الدخل؟,Taxes,2
انا تايه، عايز اعرف اعترض على مخالفة مرور غلط؟,Traffic,3
انا تايه، عايز اعرف اعفاءات ضريبة الدخل ايه هي؟,Taxes,2
عايز اعرف ازاي شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,0
انا تايه، عايز اعرف اسجل حالة طلاق في المأذون؟,Personal Status,1
لو سمحت عايز اعرف اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,1
فين اروح علشان اسجل عقد جواز عرفي؟,Personal Status,1
عايز اعرف ازاي اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,2
ممكن تقولي ازاي افتح ملف ضريبي لنشاط حر؟,Taxes,2
انا محتاج رسوم التسجيل الضريبي كام؟,Taxes,2
ممكن تقولي ازاي ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
عايز اعرف ازاي اسجل حالة طلاق في المأذون؟,Personal Status,1
ممكن تقولي ازاي اعدل بيانات غلط في عقد الجواز؟,Personal Status,1
هعمل ايه علشان اسجل شركتي الجديدة ضريبيا؟,Taxes,2
عايز اعرف ازاي اطلق مراتي رسمي ازاي؟,Personal Status,1
انا تايه، عايز اعرف اسجل نشاطي التجاري في الضرائب؟,Taxes,2
هعمل ايه علشان اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,2
ممكن حد يفهمني ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
عايز اعرف ازاي تجديد الرخصة بياخد وقت قد ايه؟,Traffic,3
هعمل ايه علشان اسجل نفسي في مصلحة الضرائب؟,Taxes,2
ينفع استخرج البطاقة الضريبية؟,Taxes,2
لو سمحت عايز اعرف ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
ينفع رخصة القيادة بتاخد وقت قد ايه؟,Traffic,3
هعمل ايه علشان المستندات المطلوبة للقيد الفردي؟,Civil Affairs,0
انا تايه، عايز اعرف الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,3
انا تايه، عايز اعرف اترجم قسيمة الزواج رسمي؟,Personal Status,1
هعمل ايه علشان افسخ تسجيل عربية قديمة؟,Traffic,3
ممكن حد يفهمني رسوم القيد العائلي كام؟,Civil Affairs,0
ينفع اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,0
عايز اعرف المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,0
هعمل ايه علشان اجدد رخصة عربية متأخرة من سنين؟,Traffic,3
فين اروح علشان اسجل مركبة مستوردة جديدة؟,Traffic,3
عايز اعرف ازاي اقسط ضريبة الدخل المستحقة عليا؟,Taxes,2
فين اروح علشان اقيد مولود جديد في السجل المدني؟,Civil Affairs,0
هعمل ايه علشان قسيمة الزواج بتاخد قد ايه؟,Personal Status,1
عايز اعرف ازاي اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,1
عايز اعرف اعدل بيانات تسجيل المركبة؟,Traffic,3
لو سمحت عايز اعرف الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,1
انا تايه، عايز اعرف اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,1
انا تايه، عايز اعرف اجدد الرخصة لمركبة نقل؟,Traffic,3
لو سمحت عايز اعرف اجدد الرخصة لمركبة نقل؟,Traffic,3
انا محتاج اعترض على مخالفة مرور غلط؟,Traffic,3
ممكن تقولي ازاي انقل ملكية عربية لشخص تاني؟,Traffic,3
فين اروح علشان استخرج قسيمة طلاق اونلاين؟,Personal Status,1
هعمل ايه علشان استخرج قيد فردي اونلاين؟,Civil Affairs,0
ينفع اطلع قيد فردي لابني الصغير؟,Civil Affairs,0
عايز اعرف اقسط غرامة مخالفات المرور؟,Traffic,3
لو سمحت عايز اعرف اعترض على مخالفة مرور غلط؟,Traffic,3
ينفع اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,1
لو سمحت عايز اعرف اطلع ايصال دفع مخالفة مرور؟,Traffic,3
ممكن تقولي ازاي اطلع نسخة من اقرار ضريبي قديم؟,Taxes,2
ممكن تقولي ازاي المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,2
لو سمحت عايز اعرف استخرج شهادة وفاة اونلاين؟,Civil Affairs,0
ينفع رسوم تسجيل المركبة كام؟,Traffic,3
ينفع اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,1
عايز اعرف المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,3
فين اروح علشان اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,1
انا تايه، عايز اعرف اقيد مولود جديد في السجل المدني؟,Civil Affairs,0
هعمل ايه علشان اعدل الحالة الاجتماعية اونلاين؟,Personal Status,1
فين اروح علشان اعرف اقرب مكتب سجل مدني لعمل البطاقة؟,Civil Affairs,0
عايز اعرف نسبة ضريبة القيمة المضافة كام؟,Taxes,2
لو سمحت عايز اعرف اعدل بيانات في القيد الفردي؟,Civil Affairs,0
لو سمحت عايز اعرف مخالفات المرور بتتحسب ازاي؟,Traffic,3
انا محتاج ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
ممكن تقولي ازاي رسوم توثيق عقد الجواز كام؟,Personal Status,1
انا محتاج اعدل بيانات في رخصة القيادة؟,Traffic,3
انا تايه، عايز اعرف استخرج قسيمة الزواج؟,Personal Status,1
عايز اعرف اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,1
انا محتاج استعلم عن مخالفات المرور بتاعتي؟,Traffic,3
فين اروح علشان رسوم القيد العائلي كام؟,Civil Affairs,0
عايز اعرف ازاي احذف اسم من القيد العائلي؟,Civil Affairs,0
ممكن حد يفهمني اطلع شهادة ميلاد لشخص متوفي؟,Civil Affairs,0
انا تايه، عايز اعرف اطلع رخصة سيارة نقل تجاري؟,Traffic,3
عايز اعرف ازاي اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
ينفع اسجل المركبة اونلاين؟,Traffic,3
عايز اعرف ازاي انقل ملكية موتوسيكل ازاي؟,Traffic,3
ينفع اعدل بيانات في شهادة الميلاد؟,Civil Affairs,0
فين اروح علشان رسوم شهادة الوفاة كام؟,Civil Affairs,0
انا تايه، عايز اعرف تسجيل المركبة بياخد وقت قد ايه؟,Traffic,3
عايز اعرف ازاي المستندات المطلوبة للتسجيل في القيمة المضافة؟,Taxes,2
ممكن حد يفهمني اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,0
ممكن تقولي ازاي الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,3
فين اروح علشان اجدد رخصة القيادة بعد ما خلصت؟,Traffic,3
ممكن حد يفهمني افسخ تسجيل عربية قديمة؟,Traffic,3
عايز اعرف اقسط ضريبة الدخل المستحقة عليا؟,Taxes,2
ممكن حد يفهمني اجدد رخصة عربية متأخرة من سنين؟,Traffic,3
ممكن تقولي ازاي اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,0
انا محتاج اطلع قيد فردي لابني الصغير؟,Civil Affairs,0
عايز اعرف ازاي استعلم عن مخالفات عربية مش عربيتي؟,Traffic,3
عايز اعرف اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,0
فين اروح علشان غرامة تأخير تجديد الرخصة كام؟,Traffic,3
هعمل ايه علشان اعدل بيانات في رخصة القيادة؟,Traffic,3
ممكن حد يفهمني المستندات المطلوبة للتسجيل في القيمة المضافة؟,Taxes,2
ينفع شرايح ضريبة الدخل الحالية ايه؟,Taxes,2
فين اروح علشان اقسط ضريبة الدخل المستحقة عليا؟,Taxes,2
لو سمحت عايز اعرف المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,0
ينفع شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,0
انا تايه، عايز اعرف اعدل بيانات غلط في عقد الجواز؟,Personal Status,1
ممكن تقولي ازاي اعدل بيانات التسجيل الضريبي؟,Taxes,2
ممكن حد يفهمني رسوم توثيق الطلاق كام؟,Personal Status,1
لو سمحت عايز اعرف استعلم عن مخالفات المرور بتاعتي؟,Traffic,3
انا محتاج المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,0
ممكن تقولي ازاي اجدد رخصة العربية اونلاين؟,Traffic,3
فين اروح علشان اسجل شركتي الجديدة ضريبيا؟,Taxes,2
هعمل ايه علشان رسوم رخصة السيارة كام؟,Traffic,3
ممكن حد يفهمني المستندات المطلوبة لقسيمة الزواج؟,Personal Status,1
انا محتاج استخرج القيد العائلي اونلاين؟,Civil Affairs,0
ممكن تقولي ازاي المستندات المطلوبة للتسجيل الضريبي؟,Taxes,2
ينفع المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,0
انا محتاج اسجل شركتي الجديدة ضريبيا؟,Taxes,2
عايز اعرف ازاي اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,1
لو سمحت عايز اعرف اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,1
فين اروح علشان اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
عايز اعرف ازاي ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
عايز اعرف اقدم اقرار ضريبي صفري؟,Taxes,2
عايز اعرف ازاي اسجل عقد جواز عرفي؟,Personal Status,1
عايز اعرف اعدل بيانات في القيد الفردي؟,Civil Affairs,0
انا محتاج المستندات المطلوبة لقسيمة الزواج؟,Personal Status,1
انا تايه، عايز اعرف اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,0
لو سمحت عايز اعرف شرايح ضريبة الدخل الحالية ايه؟,Taxes,2
ممكن تقولي ازاي اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,1
ممكن تقولي ازاي اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,1
عايز اعرف ازاي اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,1
عايز اعرف اترجم قسيمة الزواج رسمي؟,Personal Status,1
ينفع المستندات المطلوبة للقيد الفردي؟,Civil Affairs,0
عايز اعرف ازاي المستندات المطلوبة للتسجيل الضريبي؟,Taxes,2
ينفع رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,0
انا محتاج اقدم اقرار ضريبي صفري؟,Taxes,2
هعمل ايه علشان اسجل نشاطي التجاري في الضرائب؟,Taxes,2
ممكن حد يفهمني المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,0
عايز اعرف ازاي المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,1
انا تايه، عايز اعرف اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,2
انا محتاج اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,1
ممكن تقولي ازاي قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,1
لو سمحت عايز اعرف اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,0
عايز اعرف اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,1
انا تايه، عايز اعرف غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,2
فين اروح علشان اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,2
ممكن تقولي ازاي اقدم على رخصة القيادة اونلاين؟,Traffic,3
ممكن تقولي ازاي رخصة القيادة بتاخد وقت قد ايه؟,Traffic,3
عايز اعرف ازاي اقدم اقرار القيمة المضافة الشهري؟,Taxes,2
لو سمحت عايز اعرف اعقد عقد جواز جديد؟,Personal Status,1
ينفع غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,2
انا محتاج تجديد الرخصة بياخد وقت قد ايه؟,Traffic,3
هعمل ايه علشان اعدل بيانات خطأ في شهادة الوفاة؟,Civil Affairs,0
عايز اعرف ازاي اجدد رخصة القيادة قبل ما تخلص؟,Traffic,3
عايز اعرف ازاي استخرج شهادة ميلاد لابني؟,Civil Affairs,0
انا محتاج المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,1
انا محتاج القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,0
عايز اعرف غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,2
عايز اعرف ازاي مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,0
انا تايه، عايز اعرف الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,1
انا تايه، عايز اعرف اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,1
لو سمحت عايز اعرف اقسط غرامة مخالفات المرور؟,Traffic,3
انا محتاج اسجل المركبة اونلاين؟,Traffic,3
عايز اعرف شروط اتمام عقد الزواج للمصريين في الخارج؟,Personal Status,1
ينفع اعفاءات ضريبة الدخل ايه هي؟,Taxes,2
لو سمحت عايز اعرف اوثق عقد جواز اونلاين؟,Personal Status,1
عايز اعرف المستندات المطلوبة للبطاقة الضريبية؟,Taxes,2
عايز اعرف مدة سقوط مخالفة المرور كام؟,Traffic,3
عايز اعرف ازاي المستندات المطلوبة لتسجيل المركبة؟,Traffic,3
انا محتاج اسجل حالة طلاق في المأذون؟,Personal Status,1
انا تايه، عايز اعرف اعدل الحالة الاجتماعية اونلاين؟,Personal Status,1
انا محتاج اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,0
عايز اعرف رسوم رخصة السيارة كام؟,Traffic,3
ينفع اسجل شركتي الجديدة ضريبيا؟,Taxes,2
لو سمحت عايز اعرف افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,2
انا تايه، عايز اعرف اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,0
ممكن حد يفهمني البطاقة الضريبية بتاخد قد ايه؟,Taxes,2
ممكن تقولي ازاي المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,1
هعمل ايه علشان غرامة تأخير تجديد الرخصة كام؟,Traffic,3
هعمل ايه علشان رسوم قسيمة الطلاق كام؟,Personal Status,1
انا تايه، عايز اعرف اقدم على البطاقة القومي اونلاين؟,Civil Affairs,0
ممكن تقولي ازاي اترجم قسيمة الطلاق رسمي؟,Personal Status,1
هعمل ايه علشان المستندات المطلوبة للاقرار الضريبي؟,Taxes,2
فين اروح علشان رسوم التسجيل الضريبي كام؟,Taxes,2
